epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.68,1.23361,2.36905,1.26208,0.88884,0.74046,0.84224,0.40525,1.68436,2.55077,1.41622,0.000472523,0.000472523,0.000472523
2,191.939,1.30546,1.77328,1.27644,0.68267,0.63359,0.64103,0.32363,1.72996,2.20804,1.44295,0.000925372,0.000925372,0.000925372
3,275.685,1.33793,1.57084,1.28435,0.69714,0.72519,0.74227,0.37678,1.80278,1.76763,1.55834,0.00135464,0.00135464,0.00135464
4,359.641,1.29243,1.34754,1.28621,0.71646,0.48855,0.56949,0.27475,1.66798,1.86098,1.41577,0.0013229,0.0013229,0.0013229
5,443.536,1.27701,1.26512,1.25425,0.82926,0.67939,0.8047,0.37348,1.76212,2.49937,1.48236,0.00128753,0.00128753,0.00128753
6,527.314,1.2581,1.16373,1.25126,0.81978,0.74046,0.78175,0.3637,1.78225,1.19081,1.50211,0.00125216,0.00125216,0.00125216
7,611.205,1.22693,1.07886,1.22108,0.79852,0.78626,0.81928,0.41832,1.71775,1.06362,1.44769,0.00121679,0.00121679,0.00121679
8,695.978,1.21748,1.05416,1.22332,0.88251,0.81679,0.89146,0.44196,1.61751,1.36519,1.36852,0.00118143,0.00118143,0.00118143
9,785.483,1.21584,1.03596,1.21182,0.84307,0.73818,0.82587,0.4427,1.55315,1.07782,1.30973,0.00114606,0.00114606,0.00114606
10,869.883,1.17527,0.9618,1.19052,0.90128,0.77099,0.85573,0.45191,1.64562,0.89503,1.36715,0.00111069,0.00111069,0.00111069
11,956.541,1.16347,0.95418,1.1946,0.85828,0.85496,0.88701,0.45505,1.61294,1.04169,1.34794,0.00107532,0.00107532,0.00107532
12,1044.36,1.1504,0.9236,1.18624,0.93994,0.79389,0.89738,0.45988,1.66034,0.80495,1.35543,0.00103995,0.00103995,0.00103995
